uic,uic_hierarchy,uic_name,oh_gcss,total_fmc_gcss,total_nmc_supply,total_nmc_maintenance,equipment_description,model
WH2DD0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WH2DD0]",115TH SUPPORT BATTALION COMPANY D,6,4,2,0,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",2,2,0,0,TRUCK WRECKER: M984A4,M984A4WO/W
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",4,3,1,0,CARRIER 120 MILLIMETER MORTAR: SELF PROPELLED ARMORED,M1064A3
WH2DD0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WH2DD0]",115TH SUPPORT BATTALION COMPANY D,0,0,3,0,TRUCK CARGO: HEAVY PLS TRANSPORTER 15-16.5 TON 10X10,M1075
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,50,33,8,9,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH4GT0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH4GT0]","2D BATTALION, 12TH CAVALRY REGIMENT HHC",7,6,1,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,30,19,10,1,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGTAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA]","1ST SQUADRON, 7TH CAVALRY REGIMENT",1,0,1,0,TRUCK WRECKER: TACTICAL 8X8 HEAVY EXPANDED MOBILITY W/WINCH,M984A2R1
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",2,0,2,0,TRUCK CARGO: TACTICAL 8X8 HEAVY EXPANDED MOB W/LHS,M1120A2R1
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,3,1,2,0,TRUCK WRECKER: TACTICAL 8X8 HEAVY EXPANDED MOBILITY W/WINCH,M984A2R1
WH2DA0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DA0]",115TH SUPPORT BATTALION COMPANY A,9,7,2,0,TRUCK: PALLETIZED LOADING,M1075A1
WAGNC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WAGNC0]","2D BATTALION, 5TH CAVALRY REGIMENT COMPANY C",1,0,1,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WAGTB0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTB0]","1ST SQUADRON, 7TH CAVALRY REGIMENT TROOP B",2,1,1,0,CARRIER 120 MILLIMETER MORTAR: SELF PROPELLED ARMORED,M1064A3
WH2DC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DC0]",115TH SUPPORT BATTALION COMPANY C,4,2,2,0,TRUCK AMBULANCE: 4 LITTER ARMD 4X4 W/E (HMMWV),M997A3
WH4GAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA]","2D BATTALION, 12TH CAVALRY REGIMENT",6,6,0,0,TRUCK TANK: WO/WINCH,M978A4WOW
WAGTA0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTA0]","1ST SQUADRON, 7TH CAVALRY REGIMENT TROOP A",1,1,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH4GC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH4GC0]","2D BATTALION, 12TH CAVALRY REGIMENT COMPANY C",1,1,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",11,6,0,5,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH2DJ0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WH2DJ0]",115TH SUPPORT BATTALION COMPANY I,1,1,0,0,TRUCK: M1075A1 WITH ECHU,M1075A1
WH2DA0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DA0]",115TH SUPPORT BATTALION COMPANY A,3,3,0,0,TRUCK CARGO: TACTICAL 8X8 HEAVY EXPANDED MOB W/LHS,M1120A2R1
WH2DJ0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WH2DJ0]",115TH SUPPORT BATTALION COMPANY I,2,1,1,0,TRUCK: PALLETIZED LOADING,M1075A1
WH4GB0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH4GB0]","2D BATTALION, 12TH CAVALRY REGIMENT COMPANY B",14,11,3,0,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WAGTAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA]","1ST SQUADRON, 7TH CAVALRY REGIMENT",6,4,2,0,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,0,0,4,2,TRUCK CARGO: HEAVY PLS TRANSPORTER 15-16.5 TON 10X10,M1075
